index  pupil(a)  pupil(b)  pupil(cx)  pupil(cy)  pupil(theta)  cr(cx)  cr(cy)  cr(r)  scene(x)  scene(y)
   34     14.22     13.10      72.16      41.73         -1.24   56.58   49.96   15.0   -109.69    134.88
   35     14.96     12.28      81.48      43.60          0.58   82.03   50.35    8.0     57.95      3.05
   36     14.78     12.56      71.56      42.77         -1.36   83.19   51.81    8.0     27.81     38.68
   37     11.61     10.56      68.74      47.98         -0.37   81.38   53.44    7.0     26.64     31.53
   38     13.84     10.71      62.97      49.60          0.97   77.56   55.41   14.0      6.17     42.86
   39      9.05      5.65      61.35      49.82          1.15   72.20   39.57    8.0    324.48   1091.34
   40      5.57      5.10      63.41      46.81         -1.13   49.40   61.20    7.0    -52.89    143.53
   41     10.59      7.27      63.77      40.52         -1.28   74.75   58.25    5.0    104.11    447.45
   42     15.89     15.11      50.73      32.47          0.36   72.83   30.11    8.0     -7.76    335.58
   43     16.83     10.92      51.47      42.48          1.17   60.53   22.84    9.0    700.85   2633.77
   44     17.32     14.97      60.46      52.47          0.80   62.83   32.00    6.0    754.35   2990.49
   45     11.37      8.53      56.73      40.03         -0.64   69.25   63.10    7.0    198.37   1014.43
   46     11.66      9.57      56.98      35.03         -0.77   55.77   51.15    8.0     99.00    199.38
   47      7.84      6.96      63.35      31.89          1.12   68.00   45.00    7.0     76.99     95.56
   48      7.87      5.97      55.76      46.07          1.34   74.75   38.00   10.0    172.44    777.85
   49     17.66     13.88      57.99      39.39         -0.84   47.23   53.02   10.0    -11.87    101.30
   50      7.75      8.30      57.81      38.20         -1.46   56.50   51.00    8.0     65.08     58.49
   51     11.16      9.96      64.21      36.99         -0.90   46.40   49.20    3.0   -139.72    145.15
   52     11.79     10.90      52.04      34.94         -1.43   73.65   44.48    7.0    -95.86    185.13
   53     16.08     11.42      48.35      33.97          0.72   62.23   31.34   13.0    109.86    336.78
   54      6.21      4.40      43.20      39.25         -0.18   56.87   26.50   15.0    383.99   1386.48
   55     11.63      8.10      55.31      35.72          1.15   46.25   48.39   17.0      1.76     69.37
   56     16.38     12.14      41.83      43.28         -1.26   61.97   25.12   16.0    517.91   2151.23
   57     11.02      8.34      58.37      34.09          1.58   38.99   49.70   14.0   -140.73    230.45
   58     11.00      9.06      68.11      43.92         -1.23   63.77   26.23   16.0    598.66   2646.39
   59     13.40     10.01      66.98      44.42          1.19   78.09   51.74   11.0     32.45     17.37
   60      8.84      8.03      42.05      33.95          1.12   70.12   46.27   33.0   -214.97    455.44
   61      8.68      6.57      46.29      46.58          1.51   34.03   44.63   18.0     33.36    623.64
   62      9.95      8.21      39.62      49.55         -1.42   56.50   59.00    5.0    -25.41    107.10
   63     18.30     14.53      47.07      44.58         -0.01   47.00   61.40   11.0    112.64    246.57
   64     12.54      9.53      59.92      41.21          0.11   37.68   51.07   13.0   -247.69    227.02
   65     11.43      8.41      52.72      44.00          0.34   69.32   31.11    8.0    357.20   1372.67
   66     11.77     10.53      53.50      35.48         -0.76   63.73   55.09    4.0    141.41    595.99
   67     12.07      5.91      59.58      36.04         -1.38   62.12   23.65    6.0    420.26   1533.61
   68     12.31     11.65      50.52      34.75         -0.15   70.36   45.88   11.0    -62.07    210.56
   69     11.09     10.76      54.66      35.98         -0.39   42.51   40.98   14.0    -44.62    173.10
   70     18.74     15.20      62.64      36.82          0.17   44.86   47.07   18.0   -148.50    143.71
   71     12.00      8.64      54.01      43.91         -0.17   71.67   30.33    7.0    368.18   1457.29
   72     10.82      9.43      57.81      49.90         -0.43   64.13   35.47    8.0    490.83   1767.08
   73      9.96      7.90      62.43      50.16          1.19   69.00   38.57    4.0    388.54   1334.15
   74     11.30     10.43      64.92      44.38         -1.09   69.47   57.79    1.0     79.51    106.77
   75     11.65      8.66      50.85      43.81         -0.12   73.48   52.34   19.0   -114.91    175.60
   76     13.76     10.11      48.61      55.83         -0.46   55.26   35.33   22.0    751.94   2871.09
   77      9.05      7.21      60.24      55.25          0.24   55.48   67.61    7.0     41.21     47.24
   78      9.09      7.48      55.00      49.88          1.44   67.00   67.00    7.0     87.21    418.67
   79     15.94     11.81      47.83      43.93         -0.71   66.31   50.85    6.0    -45.77     85.26
   80     10.36     10.74      56.18      40.51         -1.37   36.67   55.33    2.0   -152.75    209.79
   81      9.70      8.73      68.50      42.31         -0.89   46.16   46.61   12.0   -238.06    422.43
   82     11.80     10.36      46.41      44.60         -0.96   75.00   50.75    5.0   -234.92    244.01
   83      8.49      7.68      47.39      32.48         -0.78   37.72   50.91   13.0     63.05    309.39
   84      4.67      3.88      51.14      31.72         -1.31   42.17   43.67    4.0     -1.88     55.99
   85     11.22     10.37      43.40      31.29         -1.29   57.50   20.00    8.0    329.84   1183.57
   86     10.93     18.81      46.96      48.59         -0.97   52.68   20.79   16.0   1150.48   4596.85
   87     16.61     11.33      61.54      35.06          0.21   49.50   51.80    8.0      5.55    220.70
   88      6.63      4.90      72.51      38.61          0.46   51.39   45.28    7.0   -220.82    284.34
   89     10.56      7.43      59.86      42.72          0.56   83.00   51.00   10.0   -124.18    178.51
   90     12.98     11.24      60.67      35.75         -0.98   68.58   50.26   14.0     80.51    189.91
   91      8.33      7.34      50.42      44.53          0.04   71.70   32.40    7.0    262.16   1231.83
   92      8.39      7.11      48.96      45.58          0.92   53.53   53.88    7.0     58.79     -6.65
   93      8.81      6.63      66.17      40.94         -1.20   48.79   54.79   13.0   -118.47    162.70
   94     16.98     10.87      63.97      48.57         -0.17   71.67   33.89   13.0    495.66   1777.90
   95     17.04      9.89      51.00      37.14         -0.22   75.67   51.00    7.0   -129.48    461.94
   96      8.18      6.19      45.47      40.69          1.33   59.35   26.77   16.0    424.06   1551.91
   97     11.08      8.51      65.00      34.90         -0.29   44.62   51.41   14.0   -151.32    271.33
   98      8.01      8.17      65.52      41.71          0.20   77.00   25.50   12.0    534.80   1956.04
   99     11.95     10.63      52.62      46.71          0.12   75.89   51.24   15.0   -113.69    143.46
  100     11.47      8.54      54.44      39.78          1.11   45.42   52.65   14.0      3.66     73.55
  101      3.49      3.85      60.33      34.44          1.42   42.91   50.73    6.0    -92.18    234.15
  102     10.20     10.14      53.50      40.58         -1.26   71.58   28.00   11.0    326.62   1315.00
  103      9.61      7.98      60.68      39.42          0.28   41.85   51.31    6.0   -162.66    157.75
  104     10.74      8.46      59.59      37.14          1.30   69.76   47.29   12.0     40.20     47.85
  105      9.40      7.26      61.56      42.06          0.14   62.50   25.00   14.0    597.57   2359.38
  106     11.24      7.24      58.49      39.14          0.04   56.33   52.67    6.0     66.78     80.54
  107     16.30      9.08      63.84      36.93          0.56   49.17   44.21   12.0    -92.85    141.25
  108     10.22      7.75      59.69      43.77         -0.06   72.47   29.65    7.0    442.39   1600.71
  109     12.17     16.09      52.57      41.52          0.50   68.62   52.22    7.0    -11.80    132.02
  110      9.32      7.37      56.57      38.47          1.54   47.76   49.27   11.0     -5.72     41.92
  111     14.88     10.82      67.92      34.64         -0.35   46.56   47.76    7.0   -209.87    205.07
  112     18.38     13.67      80.52      29.87         -0.94   79.67   31.33    7.0     91.28    183.81
  113     10.98      8.18      63.06      43.63          0.30   90.42   37.61   17.0    -35.95    608.72
  114     12.37     12.89      49.44      34.03         -0.11   72.58   47.98   15.0    -99.25    430.17
  115      5.29      5.05      54.46      45.61         -0.41   61.00   29.50   17.0    556.63   2043.20
  116     17.18     13.00      45.46      33.81         -0.28   65.60   52.20    5.0      9.55    707.98
  117      9.43     10.13      57.04      54.28          0.18   56.00   35.46    5.0    667.86   2759.82
  118     10.69     10.30      62.49      41.01          1.37   65.78   65.39    6.0    271.40    971.73
  119     17.74     16.01      55.52      45.98         -0.65   73.38   50.85    6.0    -28.42     76.93
  120     14.58     12.05      54.99      44.39         -0.66   65.98   53.50   14.0     32.58     34.23
  121     14.87     12.93      62.85      38.39         -0.88   65.70   55.20    5.0    117.93    270.60
  122     12.31     10.75      66.93      36.00         -0.87   55.87   48.25   12.0    -26.37     74.80
  123     14.02     10.79      61.65      36.05          1.34   75.79   46.89   11.0      9.78    110.59
  124     10.50      9.33      66.00      37.52          0.99   53.78   46.56    9.0    -54.82     76.58
  125      6.52      4.70      64.49      35.38         -1.09   76.41   48.65   10.0     44.58    178.43
  126      8.30      7.25      55.77      43.96         -0.61   75.50   47.00    5.0    -41.77    118.30
  127     13.20     10.81      57.42      33.07          1.10   64.00   56.00    8.0    229.67    865.40
  128      6.96      5.56      54.41      31.01         -1.51   60.87   21.60   14.0    320.24   1048.74
  129     12.65      9.88      61.83      40.84         -1.50   65.60   31.10   18.0    334.25   1136.30
  130     10.97     10.64      57.08      35.87          0.84   71.79   51.14    5.0     37.89    336.39
  131     11.98      8.64      64.00      37.45         -0.70   67.50   24.00    7.0    458.19   1674.00
  132     10.07     11.37      68.69      42.05          0.20   73.70   26.50   17.0    537.15   1982.15
  133     10.41      8.51      60.40      42.85          0.24   80.17   52.17    6.0    -66.20    146.91
  134     11.56      8.01      58.28      37.44         -1.27   71.67   53.83    5.0     65.07    389.98
  135     12.20     12.20      50.48      36.48          0.97   68.65   47.05    7.0    -39.65    160.20
  136     10.72      8.17      49.97      38.07         -0.13   60.00   42.70    9.0     50.79     31.40
  137      9.61      8.02      48.98      39.49         -0.93   58.93   26.47   12.0    422.83   1480.95
  138     14.73     12.42      58.42      34.06          0.42   51.79   50.32    6.0     63.62    189.71
  139      6.83      2.26      73.19      40.00          0.13   46.79   44.00    6.0   -342.35    553.53
  140     15.04     11.96      57.03      37.06          0.80   74.92   49.46    9.0    -26.59    231.44
  141      8.82      8.02      68.15      42.48         -0.47   45.93   44.76    8.0   -218.10    545.17
  142      9.82      8.61      58.61      44.00          0.39   75.10   52.90   18.0    -21.23     89.04
  143     11.92      9.13      53.35      38.62         -0.21   70.43   55.00    4.0     23.51    462.51
  144     11.62     13.21      52.90      43.80          0.02   64.09   49.73    6.0     36.05     20.06
  145      8.86      7.65      57.12      37.12          1.15   44.07   52.93    8.0    -21.71    185.03
  146     21.57     18.45      48.10      44.83          0.60   68.00   25.00    5.0    597.99   2454.06
  147     11.58      8.58      46.34      39.62         -1.43   51.84   54.59    9.0     92.97    188.44
  148     12.17     10.62      51.21      39.26         -0.50   37.76   50.02   15.0    -69.18     84.35
  149     15.84     14.26      63.18      40.13         -1.14   47.81   50.38   10.0   -103.11    108.59
  150      7.18      6.41      68.12      35.61          1.54   74.29   28.86   15.0    247.86    748.28
  151      9.74      7.77      67.43      38.50         -0.48   79.22   46.89    9.0     26.21     30.72
  152      9.51      8.23      63.51      37.78         -0.45   78.57   48.71    8.0      0.46    126.01
  153     10.03      8.86      62.98      37.25          0.54   75.62   48.38    5.0     25.06    101.12
  154      6.01      4.85      56.45      49.31          0.27   73.70   25.80    8.0    820.37   3242.00
  155     11.43     10.66      67.03      36.52          1.21   47.30   52.24   12.0   -146.93    237.62
  156     15.78     11.79      60.65      34.08         -0.94   77.42   48.17    6.0      1.60    301.13
  157      9.05      6.82      51.59      41.39          0.37   72.62   44.38    5.0    -62.07    132.27
  158     16.20     12.71      50.88      34.75         -0.44   40.67   52.33    4.0     42.69    259.81
  159     11.51     11.83      55.23      37.50         -0.00   40.12   23.62    6.0    311.39   2325.40
  160      9.66      8.03      56.72      42.64         -0.46   67.00   27.50    5.0    500.31   1802.34
  161     11.38     10.51      59.00      37.48          1.05   56.00   52.00    7.0     71.40    116.49
  162     12.41     10.94      69.18      36.89          0.66   49.60   45.90   11.0   -188.48    189.44
  163     15.22     11.17      53.74      47.53         -1.03   80.50   49.00    3.0   -156.80    232.34
  164     12.11      9.01      59.04      49.30          0.36   48.67   49.63   11.0     24.53    397.52
  165     11.91     10.20      60.02      53.47         -0.25   50.38   55.93   12.0      9.05    250.50
  166     17.76     11.66      56.51      35.82          1.59   68.72   63.12    8.0    318.93   1580.19
  167     10.47      9.09      62.29      34.78         -0.83   48.01   43.70   11.0    -87.14    104.57
  168     11.06      9.89      60.21      40.91          0.89   71.67   27.42   17.0    429.66   1526.31
  169     12.91     10.05      51.99      38.92         -0.74   71.75   52.25    3.0    -46.94    316.29
  170     12.11      9.58      50.50      43.98          0.66   63.00   29.08    8.0    474.55   1725.50
  171     13.92     13.45      60.68      44.98         -1.36   41.81   52.51    8.0   -172.87    209.23
  172     13.93     12.02      61.13      43.47          0.36   49.25   55.00    5.0    -42.01     72.80
  173      4.25      3.40      70.79      31.27         -1.46   54.82   48.71   21.0    -48.53    273.14
  174      6.78      8.25      59.50      32.44         -1.14   78.88   40.40   14.0    -60.66    110.87
  175      7.32      4.93      57.49      42.36         -0.41   65.64   23.79    6.0    656.39   2450.85
  176      9.70      7.51      68.03      45.96          0.78   51.78   45.47   31.0    -56.47    596.28
  177      9.06      6.79      63.70      43.90         -1.15   78.96   52.48   12.0     -6.88     67.97
  178     11.72     16.03      58.01      37.48         -0.75   72.25   48.16   11.0      8.19    106.57
  179     11.96      9.16      53.93      37.98         -0.80   67.67   25.73    7.0    365.89   1316.36
  180      8.10      6.92      46.66      42.99          0.94   63.68   28.18   10.0    422.98   1646.01
  181     11.97      9.38      48.93      36.61         -0.86   50.75   51.75    4.0     95.93    166.42
  182      6.79      5.12      57.03      48.85          1.09   54.52   31.44   19.0    598.58   2531.27
  183     19.66     15.14      58.67      40.21         -0.33   67.00   60.21    6.0    159.33    596.78
  184     10.75      8.64      62.83      42.39          0.11   69.82   29.00   13.0    450.01   1589.78
  185      9.93      7.33      59.89      40.24          0.47   73.23   30.85   10.0    278.14    959.26
  186      6.88      6.43      56.00      41.83         -0.58   70.19   29.62    8.0    360.26   1306.15
  187     16.35      7.63      62.58      40.56         -0.03   47.81   50.65   12.0    -93.26    101.35
  188      9.62      7.92      60.92      40.34          0.23   70.70   29.61    9.0    346.38   1166.60
  189      5.27      5.64      60.93      48.26         -0.84   64.99   31.18   18.0    601.56   2278.24
  190     11.50     10.12      54.98      46.32          0.93   73.00   36.50    3.0    237.03    971.26
  191     17.18     14.56      59.30      40.76          0.20   54.29   53.57    9.0     42.40     58.72
  192     10.83      8.50      59.81      38.07         -0.30   57.50   53.00    8.0     79.57    135.60
  193      9.22      6.82      50.12      43.69         -0.92   68.75   29.55   10.0    375.71   1528.23
  194     13.12     11.67      53.47      42.08         -1.09   54.00   54.32    7.0     67.77     46.24
  195     15.42     13.32      64.38      34.80         -0.36   41.77   52.15    6.0   -191.37    329.70
  196     11.36      9.28      56.09      38.37         -1.21   74.38   25.58   13.0    330.97   1340.72
  197     11.26     10.18      60.45      38.73          1.30   48.00   26.00    8.0    312.86   2024.21
  198     11.80     11.20      60.38      37.12         -1.33   56.17   50.67   10.0     54.29     79.68
  199     11.10      9.44      64.11      41.19          1.42   70.43   25.29    5.0    548.71   2012.15
  200     10.27      8.46      59.67      38.99          0.98   75.38   50.46    6.0     -4.52    154.89
  201     11.38     11.50      52.69      47.41          1.54   65.02   31.28   19.0    525.03   1927.89
  202      8.64      7.23      48.77      44.54          0.22   60.46   35.79    9.0    273.34    901.82
  203     10.88      9.75      59.94      51.96         -0.16   40.55   50.40   14.0   -102.52    779.17
  204     16.91     13.13      56.12      33.24         -0.32   71.00   64.00    8.0    412.00   2237.90
  205     11.03      9.03      53.05      42.39          0.78   67.67   28.50    4.0    415.86   1538.67
  206     11.15      8.05      47.85      37.25          1.46   53.00   53.50    4.0    108.96    258.91
  207     11.87      9.41      69.79      30.92          0.75   45.69   45.98   18.0   -258.55    279.61
  208     11.97     11.02      59.48      34.98          1.10   81.56   41.22    4.0   -100.86    129.33
  209     11.26      8.33      59.71      41.50          0.57   62.20   23.20   10.0    653.92   2549.36
  210     11.82      9.44      51.14      37.94          0.17   70.26   49.97    9.0    -46.44    236.17
  211     12.03     10.60      58.25      35.84         -0.27   41.54   46.82   12.0   -124.94    125.47
  212     12.77     11.16      57.20      37.04          0.63   69.67   46.83    4.0     22.11     61.56
  213     11.36      8.68      57.80      34.27          1.29   68.27   46.73    6.0     49.31    124.41
  214     14.61     10.51      50.32      33.61          1.13   62.54   26.64   20.0    220.58    705.99
  215     17.06      8.76      52.44      40.41          0.35   59.86   23.43   14.0    589.77   2175.14
  216     12.55      8.97      52.11      34.57          1.24   63.43   51.00    4.0     82.90    355.85
  217      8.43      5.61      55.19      40.41         -0.41   62.20   27.00    5.0    450.91   1593.42
  218      8.82      7.26      51.18      41.05         -1.38   64.46   29.38   19.0    350.82   1244.81
  219      6.60      6.24      57.79      43.51          0.38   41.30   50.27   19.0   -124.22    186.75
  220     16.27     11.96      48.15      43.31         -1.48   67.30   50.47   14.0    -56.16     96.35
  221      4.40      3.78      52.08      42.41          1.54   37.57   53.86   10.0    -83.48     98.99
  222      8.45      5.93      52.73      43.22          0.40   56.92   31.86   13.0    385.52   1348.32
  223     12.17      9.62      52.39      42.70          0.24   62.06   52.31    8.0     41.98     32.41
  224     11.38      9.13      55.42      57.68          0.21   53.58   39.43   19.0    638.70   2672.33
  225     11.17     10.76      50.90      53.24          1.46   63.20   68.66   14.0     62.50    304.09
  226      8.80     12.16      52.65      51.65          1.28   61.50   65.00    4.0     65.50    143.94
  227      9.18      8.01      59.04      50.95         -0.93   42.50   53.79    8.0   -101.88    364.76
  228     13.82     11.41      46.09      52.79          0.27   70.16   60.21    7.0   -140.99    177.43
  229      7.08      5.34      58.84      57.89         -0.49   36.00   65.00   10.0   -263.01    307.99
  230     12.75      9.93      54.74      54.53         -0.23   67.61   68.71   10.0     44.48    239.67
  231     13.55     13.74      65.68      36.71         -1.31   57.72   64.75   15.0    320.11   1264.52
  232     13.12     11.32      61.60      40.17         -1.46   75.29   43.95   14.0     27.60     60.89
  233      9.48      8.84      63.22      37.51          0.85   50.67   51.33    2.0    -35.49    117.77
  234     13.58     11.21      62.06      38.49          1.14   74.67   35.33    9.0    131.63    377.00
  235      5.60      4.33      71.06      40.15         -1.35   68.37   30.02   14.0    328.60   1329.06
  236     15.50     14.47      67.21      38.43          0.92   79.60   48.68   10.0     23.98     71.96
  237     13.54     11.06      61.56      35.73          0.03   74.38   49.62    9.0     42.36    223.26
  238     13.03     11.55      60.98      36.74         -0.22   73.50   24.00   11.0    394.08   1400.95
  239      6.47      7.89      52.91      47.94          1.52   72.22   38.33   10.0    212.12    940.22
  240     12.66      9.64      57.93      51.10         -0.60   43.46   57.02   13.0    -85.60    178.28
  241      9.33      7.31      58.05      50.72          1.15   64.50   39.00   15.0    393.42   1355.35
  242     17.51     10.51      56.48      38.72          0.09   69.64   54.18    7.0     55.50    321.40
  243     12.72      9.79      51.82      37.50         -0.72   44.00   50.50    4.0     18.02     71.35
  244     13.44     10.15      57.44      40.99         -0.70   42.09   44.39   13.0    -85.10    307.35
  245      9.56      7.56      56.97      46.03         -0.80   69.00   32.50    6.0    426.41   1522.20
  246     11.49      8.73      60.99      37.86          0.15   48.71   51.78   10.0    -30.64    118.31
  247     16.27     10.73      60.86      42.59         -1.38   71.41   48.65   14.0     40.01     16.12
  248      7.59     10.61      63.79      50.50         -0.79   50.67   53.33    9.0    -43.12    293.19
  249     18.24     14.56      43.50      36.21         -0.59   72.08   46.99   15.0   -234.74    386.76
  250     13.94      9.15      62.35      41.01          0.33   37.69   47.08    8.0   -306.22    394.68
  251     11.82      7.02      77.01      33.90          0.80   53.75   50.08   13.0   -223.78    296.22
  252      7.37      6.86      74.53      34.43          0.41   87.09   44.30   11.0     21.58     64.46
  253     13.88     10.99      72.44      39.19          0.92   79.50   46.00    8.0     55.28     -0.42
  254      9.61     14.60      56.35      48.45         -1.27   81.73   50.55    5.0   -134.34    200.38
  255     11.94     10.23      50.90      34.94         -0.49   67.36   52.07   10.0     41.76    508.44
  256     10.82     10.15      55.76      38.14          0.84   60.67   23.33   16.0    507.93   1859.10
  257     13.15     10.75      67.85      44.45          0.78   45.26   47.57    7.0   -235.16    499.94
  258     16.43     11.87      49.08      37.44          1.60   79.56   54.22    7.0   -228.63    868.48
  259     15.72     10.28      57.66      35.28         -0.34   38.41   45.38    9.0   -179.09    168.78
  260     12.64     10.33      63.21      38.82          1.50   70.00   32.00   14.0    247.90    747.74
  261     11.26      9.42      53.49      56.81         -0.27   73.40   46.73    9.0    217.63    991.39
  262     15.77     11.24      66.14      41.99          1.04   59.95   67.53   10.0    260.72    969.27
  263     22.30     18.25      56.53      53.84         -1.08   77.86   51.14    5.0     11.61    350.87
  264     17.71     13.74      67.50      37.82         -0.40   64.74   64.80   11.0    328.85   1196.59
  265      6.62      6.41      61.14      39.77          0.54   75.11   46.97   12.0      8.02     38.89
  266     12.67     10.42      52.47      35.40         -0.47   69.84   47.99   15.0    -18.39    231.04
  267     10.36      7.52      49.46      49.05          0.99   63.80   33.20   13.0    494.83   1847.06
  268      9.79      6.64      57.92      45.22         -0.14   39.90   55.42   11.0   -153.28    147.68
  269      9.02      7.11      64.99      32.94          0.41   55.36   52.09    5.0     76.15    356.36
  270      8.25      6.68      47.50      38.99         -0.27   75.22   21.44    4.0    345.23   1975.46
  271      9.32      7.65      47.04      36.42          1.37   39.66   49.62   14.0     24.01     74.85
  272     15.06     13.13      54.04      35.29          0.09   52.71   34.57    4.0    118.57    322.11
  273     11.81      9.81      50.76      36.74          0.36   65.62   43.46    5.0      0.05     44.77
  274     12.53      8.49      45.81      32.78          1.02   60.21   34.29   15.0     42.50    126.41
  275     13.97     12.70      55.59      38.50         -0.40   56.73   24.36   22.0    480.99   1841.30
  276      8.71      7.00      56.70      38.75          0.82   67.11   46.46    6.0     36.69     14.63
  277      8.51      6.83      61.51      38.55         -0.51   45.56   49.56    7.0   -110.91    115.35
  278      9.25      8.01      59.25      35.30          1.33   58.00   50.62    9.0     89.12    158.09
  279     11.45     13.54      61.24      31.71         -0.23   70.12   44.75    6.0     62.91    130.80
  280      7.37      7.08      60.48      44.52          0.27   72.12   31.88    7.0    397.71   1399.58
  281     10.07      9.17      59.75      43.34          0.21   70.83   33.33    5.0    315.10   1057.20
  282      8.81      8.10      61.83      36.60         -0.67   54.18   52.32   14.0     46.88    164.86
  283     12.36     11.01      69.18      34.56          1.37   73.75   48.25    1.0     81.88    118.75
  284      6.06      4.74      65.41      36.03         -0.28   79.74   45.05   13.0      3.42     65.42
  285      9.25     17.26      60.80      35.76          0.07   73.12   30.89   10.0    169.49    511.60
  286      4.03      3.96      61.10      32.40         -0.09   71.14   25.59    8.0    232.26    709.34
  287      5.53      4.71      58.56      31.45         -0.59   73.00   21.00   15.0    299.40   1074.01
  288     14.01     11.16      52.50      52.74         -1.36   70.07   38.64    5.0    388.65   1533.31
  289     11.77      9.39      48.06      43.66          1.15   62.33   64.83    5.0    138.63    841.04
  290     20.38     14.29      57.03      39.38          0.57   39.50   50.00    8.0   -142.25    137.98
  291     11.93      8.57      53.41      34.30         -1.19   67.77   47.03   10.0     17.99    188.52
  292     11.26      9.31      56.59      33.37         -1.32   45.00   45.44    4.0    -34.80     76.39
  293     11.89     10.69      52.01      39.88          0.41   62.62   27.69   18.0    389.35   1350.82
  294     10.16      7.48      46.86      34.09         -0.16   40.33   51.67    5.0     83.33    261.90
  295      8.13      6.19      46.81      35.43          0.04   57.67   23.33   18.0    384.59   1334.59
  296     11.42      8.75      53.51      40.46          0.14   37.92   25.12   10.0    358.69   2615.44
  297     14.80     11.56      50.08      36.33          0.28   63.80   47.74   22.0     16.53    124.50
  298      9.15      7.81      52.30      38.95          0.27   60.75   45.42    4.0     50.60      5.33
  299      9.49      7.83      44.07      40.99          0.75   62.17   27.67   19.0    352.99   1416.84
  300      9.40      7.41      47.48      40.78         -0.02   52.50   53.00    8.0     70.14     66.13
  301     12.55     10.80      57.91      34.04          0.73   38.93   48.86   11.0   -141.29    203.31
  302     20.71     18.52      41.37      36.96         -0.31   69.20   32.00    8.0    -71.11    535.23
  303     11.95      7.90      60.10      36.49          1.14   39.38   47.24   15.0   -209.28    189.28
  304     11.37      5.73      55.16      38.45          1.50   71.50   24.00   14.0    417.64   1600.28
  305      8.72      7.28      52.19      42.00          0.07   63.50   26.00   15.0    527.53   1924.20
  306     13.14      9.79      56.03      36.99          0.75   55.07   52.97    8.0     98.18    192.67
  307     12.78     10.48      61.06      38.46         -1.48   62.00   25.00   16.0    455.59   1737.06
  308     17.03     13.50      63.45      51.91          0.85   69.06   29.76   11.0    836.49   3251.44
  309     11.68      9.24      49.99      54.47          1.13   72.18   54.71   15.0    -50.50    217.09
  310      8.07      6.38      48.94      43.36         -0.64   39.57   65.71    5.0    145.16    610.89
  311     11.69     10.51      53.05      41.76         -1.09   54.20   54.40    4.0     71.95     60.16
  312      7.74      7.65      50.18      41.88          0.04   61.57   30.83   11.0    345.89   1186.13
  313     13.19     14.70      62.55      46.95         -0.93   40.51   47.68   14.0   -196.25    656.96
